Musical Poster,Theatre,Address,Capacity,Owner/Operator,Current production,Type,Opened,Closing,youtube
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Kinky%20Boots.jpg?token=AUWyJycs1txVoVAkOKWL9sr9P69wqkczks5YUFAmwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Al Hirschfeld Theatre,W. 45th St. (No. 302),1424,Jujamcyn Theaters,Kinky Boots,Musical,"2013-04-04April 4, 2013",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Kinky Boots Musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Chicago.jpg?token=AUWyJ6zrnVFd4x5bTS2cQFcaqb9yFNBIks5YUFXLwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Ambassador Theatre,W. 49th St. (No. 219),1125,Shubert Organization,Chicago,Musical,"1996-11-14November 14, 1996",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Chicago Musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,American Airlines Theatre,W. 42nd St. (No. 229),740,Roundabout Theatre Company,The Price,Play,"2017-03-16March 16, 2017*","2017-05-07May 7, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Price play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Jersey%20Boys.jpg?token=AUWyJ_TNtZu9CMpZhUvXO_vNADGeTrZ4ks5YUFbZwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",August Wilson Theatre,W. 52nd St. (No. 245),1228,Jujamcyn Theaters,Jersey Boys,Musical,"2005-11-06November 6, 2005","2017-01-15January 15, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jersey Boys musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Belasco Theatre,W. 44th St. (No. 111),1018,Shubert Organization,The Glass Menagerie,Play,"2017-03-09March 9, 2017*","2017-07-02July 2, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Glass Menagerie play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Color%20Purple.jpg?token=AUWyJyVbJZ-JN2u_HxvPkY8865AuonZhks5YUFcTwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Bernard B. Jacobs Theatre,W. 45th St. (No. 242),1078,Shubert Organization,The Color Purple,Musical,"2015-12-10December 10, 2015","2017-01-08January 8, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Color Purple musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Les%20Liaisons%20Dangereuses.jpg?token=AUWyJ4j1oJKvLq2O1lsAeyYGcvmJ_-3_ks5YUFujwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Booth Theatre,W. 45th St. (No. 222),766,Shubert Organization,Les Liaisons Dangereuses,Play,"2016-10-30October 30, 2016","2017-01-08January 8, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Les Liaisons Dangereuses\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Front%20Page.jpg?token=AUWyJ2Z2mbTiCYAl3SiHfbxRzj1tA9H9ks5YUFvKwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Broadhurst Theatre,W. 44th St. (No. 235),1186,Shubert Organization,The Front Page,Play,"2016-10-20October 20, 2016","2017-01-29January 29, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The front page play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Fiddler%20on%20the%20Roof.jpg?token=AUWyJyAn5XZBcDE19UfktMjCF6txPARXks5YUFc7wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Broadway Theatre,Broadway (No. 1681),1761,Shubert Organization,Fiddler on the Roof,Musical,"2015-12-20December 20, 2015","2016-12-31December 31, 2016","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Fiddler on the roof musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Waitress.jpg?token=AUWyJyVGAVxhW1xRpbNUmhkH_QzB94VIks5YUFdawA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Brooks Atkinson Theatre,W. 47th St. (No. 256),1094,Nederlander Organization,Waitress,Musical,"2016-04-24April 24, 2016",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Waitress musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
