"","V1","V2"
"269","Miss Saigon ","    The structure of considered creation is more like an expensive Hollywood movie rather than a musical. Creators managed to combine harmoniously all theatrical elements: acting, music, singing & scenery. The project is based on the story of love without happy ending of two very different people. He is an American infantryman. She is Vietnamese prostitute. The first thing that unites these characters, besides love â is horrors of the Vietnamese War. The producers were able to reveal the atmosphere of the tragic events of 70-ies very good, mainly thanks to the scenery design and costumes. It is rare when the creation of scenery takes so much time as here. So it received extensive and sophisticated elaboration to the smallest detail. , , Throughout the musical audience can see the following picture: the brothel with its bright commercials; Vietnamese slums and American classic apartments; the headquarters of the Communists with its characteristic symbols and a huge statue of Ho Chi Minh; helipad, where soldiers gathered before sending home & many other locations. Depending on the setting of the scene, costumes change. The brothel is so perfectly revealed by forthright outfits of women working there; at the headquarters of Asians, the audience sees the classic headdresses, which are rice hats; camouflage military uniform is observed on the base of the Americans. The scenery in combination with the above-described clothes gives to each episode colors and emphasizes its special volumetric atmosphere., , J. Pryce & L. Solonga coped with their roles tremendously. Through her character, the actress shown viewers such traits as naivety, trust and hope. Over time, the war changes Kim. This is clearly seen in the episode, when she kills her brother, which threatened her child. Maybe years back, she would agree her brother killed a boy, but now she is hardened and was able to defend own little piece of love. Solonga was able to convey the transformation of her character thoroughly, for which she received a Tony Award â well-deserved, along with 1 Drama Desk. As for Pryce â his character Chris is the epitome of the American male. Initially, he seems like the perfect hero, but then some things happen that turn upside down the viewer's attitude towards this character. , , The musical accompaniment is filled with clearly heard oriental notes. Songs are usually dynamic and contain no drama. The last one is also fully manifested in the dialogues and speeches of the main characters. The vast majority of viewers & critics have warmly accepted the project. But there were also those who saw in the creation elements of racism and sexism. In particular, the founders accused the disrespect towards women. According to Hideo Maruyama, people should open their eyes and to see the real Vietnam, rather than what is shown in the play. Maybe he is right today, but not for times that were 50 years ago. Things change, you know. , , In 1991, the project has received 11 nominations for the Tony, winning 3. The spectacular also has 5 Drama Desks and Theatre Worlds. In 2014, the long-awaited return of the creation happened to the West End. During the first day, it sold tickets for more than $ 4 million. This figure is an absolute world record as of today. In 2016, the same-named movie is planned, with Danny Boyle as director."
"270","Most Happy Fella","    It is an amazing story, which may touch the hearts of everyone. There is no politics or religion here. All that a viewer can see is just life. âMost Happy Fellaâ is a wonderful love story with a happy ending. However, it might become the reason for some people not to like it, because it is not always so in reality. In everyday life, we face injustice, lies and cruelty. The situation does not always end happily. People may get hurt. But in this musical, it is not so. , The performance brings hope and inspiration to those, who are ready to receive it. The actors play wonderfully. They manage to transfer the emotions of their characters. There are lots of songs in the show, perfectly matching the scenes. That is why it is called an opera. So, any opera-lover will be glad to watch and listen to this histionics. The audience can also enjoy plenty of dances, which cannot leave indifferent., The most important lesson of the musical is probably that you can always find happiness. It does not matter, how old you are. Besides, it points out that the age difference is not vital in love. What is more, the happiest man is the one, who is able to forgive the others for their mistakes. Thatâs why the performance is titled so., This spectacular has become prodigiously successful. It has had several revivals on the stage. People still want to watch it, as it is quite true., Here you will like costumes and decorations as well. Enjoy beautiful voices, talented acting, nice songs and creative dances. You will see that the musical has deserved all its awards and nominations. Fantastic costumes were not the highlight of this histrionics. The essentials here belief in yourself, dedication to the object of your love. You should not give up even if someone tells you that you arenât good enough to do what youâre doing (or too old to love). Remember â when people say âyou canâtâ, they define their limitations, not yours."
"271","Motown ","    It is not just a plain spectacular â it is an amazing trip though the life of a famous and talented person and his friends. The production attracts the audience for its story, which is a real one. The viewers see, how the talents are discovered, and how people try to reach their dreams. All the obstacles and hardships are displayed. We may see what a great job has been done by Berry Gordy and his mates. Their relations are also a part of the storyline. They are both professional and friendly., , The main thing in this performance is, of course, the songs. All the well-known hits, recorded by Motown, are presented here. The voices of the singers fit the songs perfectly. You can see a young guy, playing Michael Jackson and many other unbelievably gifted Afro-American actors and actresses. The performance of the leading actress, playing Diane Ross, is outstanding. The dances are wonderful thanks to a talented choreographer Patricia Wilcox. The costumes should also be mentioned as one of the benefits of the musical. They are not just mesmerizing, they reflect the time of action. The designer did the best creating them. The hairstyles also deserve our attention. They are original and match the time, when the spectacle takes place., , Certain critics tell that the show lacks the storyline. It is true, as there are more than fifty songs, some of which are performed as concert versions. They claim, the performers come and go away too fast. Thatâs why those people, who prefer to concentrate on the plot, will probably not like it. But all the rest will be able to estimate highly the miraculous work of the actors and their abilities to sing and dance., , Despite the criticsâ response, the production has become very demanded and popular among the audience. So many performances have been shown since its opening in 2013. In 2016, it is going to be revived. It is possible to book tickets already. It possibly denotes how people like this simple and true performance. The reason probably lies in the songs. They are legendary and will remain famous for a very long time. They still touch our hearts despite the fact that they are old enough., , In this musical, there are no complications, no drama or tragedy. All we see is just life of the main character, who is working to fulfil his dream. His past, present and all his way through life are displayed. It seems there is nothing special, but we still like it. If you want to listen to beautiful songs, enjoy interesting costumes and see magnificent dances â watch this musical & get pleasure."
"272","Movin' Out ","    Staging of this play is quite unusual. Cast is dancing and only with solely movement should transmit the lyrics & the stories of their characters. The performance is more like a rock ballet rather than the classical musical. The author has managed to embody the idea of all hopes and aspirations of young people, the horrors of war, the pain of loss and disappointment. Boys have suffered much at the front, and now they could not return to their former carefree life. Suffering because of the war syndrome, each of them was looking for a way out of this difficult situation. Tony & Eddie differently got used to civilian life. One young man was trying to get closer to his beloved, and the other wanted to get rid of the memories and aggression with the help of drugs. Only sincere feelings healed the suffering soul. Eddie realized this only after a meeting with a widow of his friend. The life story of five friends ends with reconciliation with oneself and with the world around. Now they can look forward again, hoping to find peace and happiness in the future. , , Born in the songs, characters came to life on stage. They showed the public their hopes and disappointments, joy and pain, love and suffering. Ordinary boys and girls did not think that the fate would provide them such serious tests. But they managed to overcome everything and began to live again. Energetic songs and passionate musical, along with ardent choreography helped the viewer to understand each movement of the actors. Various life situations are embodied on the scene â from youth party to the mourning ceremony. The dancers bring to the audience a deep sense of music that sound in the play. Color setting also helps the viewer to experience musical better. Thanks to the excellent performance of the songs, the show fully captivates the attention of the public and becomes a joint thing to everything that happens on stage. , , In this performance, a beholder can see almost the entire range of life situations. The basic idea of staging is that sincere feelings will always help to overcome adversities. The main thing is timely support of your closest people. You should also adhere to self-trust. With all this help, you can endure the difficulties and troubles that have arisen in the course of life of human. It is only necessary not to alienate those who want to give you support. Love brings to people's lives a sense of joy and happiness. The main characters prove it on personal experience. Despite wounds, Tony and Eddie could find comfort in the words of those who were not indifferent to their fates."
"273","Mr. Mark Twain ","    Musical creators initially refused to pursue goals such as commercial success, receiving various kinds of awards and prizes. The main objective of the project was to tell the audience the story of one of the most iconic writers of American literature, Mark Twain. Every person knows his name, but not all are familiar with facts from the biography of the novelist. Staging created to consolidate the existing knowledge of the audience and significantly increase them. Based on the foregoing, it becomes clear why the director Dennis Rosa did not limit the scope of his creation with one theater and demonstrated it in more than 50 cities in America during the touring company., , In order not to stuff to the eyeballs the audience with dry biography, directors significantly diversified the narrative line and included in it the scenes from the popular works of Mark Twain. In particularly, we are talking about a variety of theatrical cameos from the novels with Tom Sawyer. This fact significantly increases the value of the cultural performance and diversifies it. The life of a writer can hardly be called fun, and because of these scenes, the audience laughs, the atmosphere of drama on scene dilutes., , Mark Twain was an outstanding personality, and therefore his embodiment on stage was entrusted to an experienced actor. Him was William Perley. He smartly coped with his work, literally fitting in the image of the writer. The rest of the performers also did their best, though they devoted to stage time not many efforts. It is logical that in this situation to the foreground come costumes, scenery and other elements. The picture was a little pretentious, but not less magnificent from that. A variety of scenery prop amazes: the modest apartment, wide deck of the ship, where Twain worked and travelled extensively in the South USâ¦ They most accurately convey the frequent change of the situations in the life of the novelist, as well as the huge number of places, which he was lucky to behold. Thanks to these creations, people have the opportunity to get acquainted with this person, one of the greatest literary figures in history. Millions of people know the story of Tom Sawyer and Huckleberry Finn, but now they can clearly see the way of life of creator of many aforementioned characters."
"274","Mr. President ","    This musical is strongly connected with politics. It is not just a story about love affairs; everything has its hidden motives. We may see it from the romance between the daughter of the President and her lover. He leaves her, when the term of her father comes to an end. , , There is a serious issue in the plot. The background of the performance is the Cold War. Here we see how the leader of the state tries to improve the situation. And he succeeds. Even though he is not praised for this for the first time, his hard work is awarded later., , Of course, the plot is not the only thing, which attracts people. It is probably something, people actually do not like. Many of us can say that the spectacle is out of date. It might have been interesting several years ago, but not now. They subject matter is not that relevant for the people. The plot is considered weak. , , If we speak about the music â the songs are good. They have been rewritten several times. It was also the last work of the gifted composer Irving Berlin. He was full of inspiration and tried to create fresh melodies. This was one of the reasons, why the musical is worth seeing and listening. , , The actors deserve the attention as well. Look at Nanette Fabray, who was playing one of the leading roles. She resembled the first lady of that time â J. Kennedyâs wife. The creators decided to exploit this likeness. And the first lady highly-estimated the show., , The first production failed, but the tickets were sold beforehand, and many people watched the musical. Even after many cuts and revisions, the situation didnât change. Despite the dull scenario, the work of the cast and all the troupe was fantastic. The director was talented enough, while the songs became hits. In 1963, the show won Tony Award for the Best stage piece. It was nominated for the same award for the Best Leading Actress, Conductor and Musical Director. At least for a few reasons the production should be seen. They are directing, music, lyrics and talented acting. A viewer must be ready for the boring plot and absence of action. If you are not too critical concerning such things, then you can watch this histrionics and enjoy fascinating work of the crew. It will be also exciting for those, who prefer something retro-style."
"275","Music Man","    It is quite interesting to watch a musical about the music. First thing, which makes us admire, is the songs. The talented composer â Meredith Willson â was inspired by his own boyhood. He spent it in Iowa and understands the spirit of that place. Outstanding melodies and beautiful voices of the actors made the performance mesmerizing., , Concerning the plot, it also deserves out attention. It is a kind of mixture of comedy and romance. The story itself gives us an important lesson. Everyone can become better, when s/he falls in love. Sometimes we donât even notice it, but our beloved change us. , , The staging immediately became popular among the public. It is proved by so many revivals of the show and a movie adaptation. Each production features gifted actors, singers and dances. Choreography should be mentioned as well, as dances take a great part of the performance. Onna White really did her best in her task. The audience likes both the original and the new versions of the musical. Many people say that Craig Bierko managed to return old ideal of an attractive man in a leading role. Being a fraudster, he makes us like him anyway. The performer perfectly showed the shifts in his character. We see, how he becomes better and understands, what is important in life. , , Rebecca Luker appeared to be perfect main female character. Her heroine is gentle and lovely, but she also has strength and principles. Here you can find plenty of references to the culture of that time. Those, who are interested in history, will highly estimate it. The show is often called a Broadway jewel. It should be watched by all the musical lovers. You will definitely like everything here â songs, dances, costumes, actors and the plot. It is a reflection of talents and creativity. The staging deserved every award, it has obtained."
"276","My Fair Lady ","    This work is one of the best musicals of the world. An unusual story about a girl learning the subtleties of high society communication won the audienceâs hearts across the planet. Staging has been recognized as an outstanding immediately after the premiere. Initially, a professor of phonetics was not sure of his success when he took a florist girl as a student. And yet the idea of showing that any person with appropriate training can be perceived as the representative of high society, was very interesting for a man. He decided to conduct an experiment, and the object of it was Eliza. She did not think that the lessons could be so boring â she did not want to repeat the same phrase over and over again in a row. But, being able to pronounce the words correctly, florist assessed her capabilities â she could be a real lady! Reaching the maximum success at the embassy ball, she was very happy. But her joy was marred with an attitude of the professor. The man still saw her as just rootless flower girl. , , Henry Higgins did not notice how Eliza has changed during the time that she spent in his house. The girl herself was not fully aware of this. Only when the she tried to go back to the old life, she realized that continue living in her old way was impossible. Thanks to Professor, her fate has changed, and making a step back was unacceptable. Back at the house of Higgins, she saw that the man is aware of his not best behavior in relation to her. Realizing his feelings, Eliza decided to stay with him, even though she had the opportunity to start a relationship with another noble young man. Yet the one who spent at her education a lot of efforts, appeared for the former florist much more important than Freddy, a new acquainted. She decided to forgive her former teacher for the coldness and harshness as he was a man who won her heart., , Immediately after the premiere, the musical has attracted the attention of the public. Critics appreciated the histrionics as the first class. Particularly subtle irony and wisdom present in the plot were noticed in reviews. Excellent performance of actors taking part in the musical also caused the admiration of critics. The play received numerous awards â many prizes marked this production. Amazing performanceâ numbers entered into the world music collections. Songs of F. Loewe featured a special lightness and melodiousness. This musical has entered into constant repertoire of many theaters of the world. The spectators do not miss the opportunity to see this magnificent spectacle to enjoy a well-known musical numbers, wherever it is played at the moment. Because it is a Cinderella told in the new way â a rich person gathers a girl from the street in the literal sense, makes a gorgeous person out of her and takes her to live along with him. This is a dream of many-many girls."
"277","My Favorite Year ","    Musicals managed to win several major theater awards including Tony, Theater World & Drama Desk. In particular, actress A. Martin has been awarded with two prizes at once. The reaction of critics was not so supportive. Columnist of The New York Times F. Rich called this creation a missed opportunity to glue a truly high-quality comedy. According to him, the show looks very noisy and has a relatively flat music. A similar idea expressed in publication of Time Magazine, briefly describing the production as barren Broadway musical. , , Many people wonder why despite the existence of numerous awards and nominations the musical has rather weak ratings. The main reason â the creators of this project tried to fit it in the frames of film of 1982. But the movie and the scene are different art forms, which need separate approaches. At the disposal of the movie, it was one of the best actors of the 20th century, Peter O'Toole, with his incredible charisma and skills. There was much less opportunities in spectacular. But at the same time, it should be noted that the absence of a vivid artist has given a chance to prove themselves the rest of the actors. Andrea Martin managed to receive two prestigious awards. L. Kazan perfectly played a role, but she had not been able to get the cherished statuette â she landed with the nomination only., , It is evident that the director R. Lagomarsino in most episodes preferred to use the whole cast. One or two artists on the stage appear rarely. This can be seen only in the middle of the musical, at the time of meeting of Benjy and Swann. In the rest of the scenes dominates mass usage of a variety of images, scenery, choreography and vocal elements from a pile of actors. All of this is manifested best during the execution of the composition âTwenty Million Peopleâ: there were more than 20 people on stage, singing and dancing. For such techniques, the creation received a considerable portion of criticism. However, this may be loved by fans of improvisation and welter on stage. , , Musical accompaniment also causes mixed feelings. It sags quite often and thatâs why it is really hard to understand the atmosphere on a scene. Therefore, comic component of production loses a lot. This is clearly illustrated by the song âThe Duck Jokeâ. The latter was created in order to cause the sincere laughter, but eventually raised only a few smiles. The only bright moment of the show is the background music. During its creation, S. Flahery slightly shifted away from the main theme of the histrionics and added to it a certain touch of drama. As a result, piano composition named âLarger Than Lifeâ appeared. It is considered the main decoration of this ambiguous creation."
"278","My Name will always be Alice ","    Sometimes the viewer goes on musical action, wishing to see something deprived of sense, but at the same time fascinating and flamboyant. If the person is one of such audience, then he or she will like 'My Name will always be Alice' by all means., , The musical strikes with its ease and brightness. It is worth noting that the show is created in format of revue. Despite this, it can seem to the viewer that all performance is a single whole. All this occurs because actresses harmoniously supplement each other. People can think that they observe history of the same woman during different periods of her life â from childhood to maturity. Perhaps, this is true. What did creators want to tell, besides of a life story, is unknown. However, one thing can be told precisely: they managed to create a remarkable set of sketches of 21 songs., , As for music in the show, it is tremendous. It is especially necessary to note All Girl Band, which sounds at beginning of the show when all five actresses sing the inflaming song in brilliant dresses. Of course, the main emphasis of the musical is placed on songs. As for choreography, the viewer shouldn't expect fiery dances. However, it doesn't mean that it becomes boring because of it., , The visual part of this play is also of a high level. There is a desire to tell many good words to the designer of scene and suits. Thanks to various clothes, actresses instantly reincarnate in different images. So the beholder sees the young girl with mother, and then already two friends. Scenery weren't same various as suits. The reason for that â initially the spectacular was designed for a small scene. However, masterful lighting supplements and hides all the shortcomings. Design of the scene was created in style of the 80th years of America. Describing general impression from the show, it is possible to tell that this is remarkable musical for people of almost all ages."
"279","Mystery Of Edwin Drood","    Classical plot of Charles Dickens' novels always is also long and various. It isn't easy to reflect it in series. In the musical, this task seems impracticable at all. Not to get out the framework of time, its creators had to cut down all events strongly. Actions are promptly replaced, and the viewer doesn't have time on judgment of situation. It is impossible to tell that these circumstances have done it good., , If to speak only about a technical and visual component, then it is thought over ideally. Smart design of the scene, suits, tremendous atmosphere of the Victorian England: cloudy sky, big houses, a stone cemetery. There are little locations in the musical, but all of them are thought over unusually and arranged, and except some things, literally each detail breathes that era., , Unfortunately, it can't be told about semantic contents. Dickens's plot was godlessly shredded, having left only those lines, which, according to creators' opinion, have values for continuation. In places where the author has long explaining details, in musical there are one, literally the second strokes. It inserted as though only for original plot following., , Itâs necessary to say several words about music and actors. The magnificent music, sounding from the beginning, penetrates the musical, adding depth to images of characters. It is capable to lodge in soul of the person for a long time. The main character Jasper is a regent of church choir. Therefore, bel canto, a fine man's vocal, is closely connected with his image. There is also a fine visual row, a set of symbols demanding a solution., , But the most amazing part in the musical is actor's play. Especially should be noted John Jasper's role. His ability to play the villain, causing sympathy at the same time is inherent only in great actors. The passions, which are tearing apart Jasper, this quiet person, love, involved on envy, hatred, which has arisen in his soul because of dislike of the father is embodied in really heart-breaking scene of his suicide in the final of musical., , Before going on this performance, the viewer has to be ready that he/she will see some shortcomings. To transfer a plot of classical novel is a really difficult task. Creators have coped with this problem not ideally. However, the musical is worth watching all the same."
"280","Myths And Hymns ","    Complete denial of worldly needs resulted in a strong confrontation between the two generations of the same family. If the parents were happy with quite ordinary life, their children wanted for something more. The turning point in the relationship between father and son occurred at a time when the man realized homosexuality of his child. Because it was considered a sin, the patriarch of the family decided to renounce his boy. His religious feeling took over his father's. But when the young man died because of AIDS, father bitterly regretted about his decision. Only after losing a beloved one, he realized that everyone could live own life, no matter how strange it seemed to people around. , , Man slightly outlived his son. Remained almost in the same time without children and without a husband, a woman could not live with it. Her daughter also suffered the loss. She unsuccessfully tried to fill the appeared void with new love relationship, but they brought her only suffering. When the family's financial situation deteriorated, the house was put up for sell. But the widow refused to leave it, being perseverant in her denial. , , The author has written Song of Icarus in 1987. It was the first product of the future collection, on the basis of which the final musical has been formed. Inspired by Greek mythology, Adam Guettel continued to create a cycle of music compositions on the subject. In 1993, the author purchased in a secondhand bookshop hymnal of the XIX century, which contained a religious hymns. This book became the impetus for the creations by the composer â he wrote new songs based on the theme of faith in Lord. When Adam showed two cycles of works to Tina Landau, she proposed to combine them into a coherent whole thing. So a spectacular was built-up, which has been created on the songs written based on Greek myths and biblical themes. He was named âSaturn Returnsâ. Name of the product is directly related to the age of the author. Planet Saturn revolves around the sun once in 29 years. Approaching the 30-year milestone, Adam was trying to figure out whether he was able at that time to create something significant in his life or not., , During the re-working, Lucas moved away from the interpretation of musical, as the search for faith in God with the help of songs. She began to consider it as life of the religious family. Parents and children are shown by director impersonally. Elizabeth paid great attention to the compositions, but now the story line clearly runs throughout all work. The complex relationship arising between a father and a faithless child have become the main theme of the production. Production received another name. , , The musical features a sophisticated lighting and color design of the scene developed by H. Goldman. Original costumes by E. M. DeAngelis, helped each participant to realize in the performance as accurately as possible the image of own hero. Unusual choreography by W. Seyb allows the actors to express feeling through movements. Special attention deserves the orchestral group composed of pianist K. Stanislavskaya, violinist A. Waddell, bassist A. Terry, drummer J. Mack, guitarist J. Russ & cellist A. Seidner. Thanks to the masterful performance of the musical, it completely immerses the viewer into the world of images & fantasies of Adam Guettel."
"281","Naked Boys Singing ","    The musical has no plot and this is a revue. Musical numbers performed by men who are completely naked for almost the entire production. Actors perform on stage under their real names. Initially, the project was a radical gay show, which tried to draw attention to the problems of sexual minorities. Broadwayâs play lost the most tragic song about the early death of a homosexual partner. This revue has faded due to this and was offered to visit not only by gay men, but also women. Organizers assured that this is an excellent choice for a bachelorette party. In addition to the nude male bodies, visitors guaranteed the sea of merriment. Tickets in Kirk Theatre cost almost $ 70. Promotions coupons existed, which allowed to reduce this amount by 40%. In the room was forbidden to take photos or videos. Violators were expelled from the premises by guards. , , Viewersâ opinions, who saw the revue, were different. One people really enjoyed the show. Other visitors were disappointed by the fact that the actual duration of the performance was a third less than the claimed one in advertising. The show lasted not more than an hour instead of the promised 90 minutes. Stage design of the musical was minimal. Several compositions used a fog machine for special effects. It was noted that the only dressed person on the stage was pianist who accompanied the actors involved in the revue. In 2007, after this theatrical, a film of the same name was made. Directors of the motion picture were creators of the musical R. Schrock & T. Christian. In the film took part the actor fro in the original production â V. Zamora. It also included: J. Souza, K. A. Stea, P. Truong, J. Keane, J. Currie, A. Manough, J. Hodges, A. B. Ames, S. Vassallo."
"282","Narnia ","    At the core of this performance is famous work about the journey of four children in a magical country named Narnia. History reveals that siblingsâ passage to the wonderful world can be hidden in any place, even in such an unexpected like a wardrobe of the old house (which is the allegory stating that the true way to the Faith can be found in very unexpected places). Escaping from the war, children were trapped in a fairy tale, but it was not perfect at all. The evil Witch took advantage of the long absence of a legitimate ruler Aslan and captivated the governing of the country. She turned all haters into statues. Because of witchcraft of her, eternal winter settled in Narnia. But there was hope for the liberation of the inhabitants of the magical kingdom. According to the prophecy, one day two men and two women shall come, who are destined to not only overcome the evil witch, but also to become the future rulers of Narnia., , When the prophecy began to realize, Witch has done everything to capture and kill the dangerous guests. She managed to bewitch Edmund, using negative aspects of his personality (by means of this scene the struggle between our dark side of the soul and our wish to reach the light, as Bible understands it, is depicted). But it did not help the Witch to get to the other children. The nobility, honesty and friendship â bright sides â were their constant companions, which allowed to resist her. Despite the treachery of their sibling, they did everything to save him. Help came from Aslan, who returned to govern in his country. Lion was filled with love and patience, so he was able to forgive Edmund, when he was released from the captivity of the evil queen., , After having a conversation with the true ruler of Narnia, the boy changed â Aslan words settled in his soul. When a lion went for death instead of a child (here the sacrifice of godâs son Christ for the sins of humanity is clearly visible), Edmund completely rejected the negative aspects of his character. In fairyland, there was magic, which prevented the loss of innocent creature. Having overcome death, and then the evil queen, Aslan showed everyone who the true ruler of the land was. The main part of critics says that this image of Aslan â it was a Christian Lord and the Witch was the Devil. A struggle between them and forgiveness of Aslan for this child, who temporarily lost his way, reveals the nature of such a pure thing as forgiveness in Christianity., , Thanks to the efforts of the authors of the musical, magical Narnia can be seen in reality (and for several years â in cinemas. Films about this story collected huge box offices). Amazing music helps to plunge into the fantasy world populated by talking animals, representing fairly understood sides of human essence â someone helps and someone reveals only hatred. Taking a trip to Narnia is possible without a quest into the wardrobe â this play places us in this tremendous tale."
"283","Natasha, Pierre","    Dave Malloy has created a very unusual product. Taking the world-famous novel as the core, he was able to bring to his musical variety of music genres. Classic ballads were particularly good for expressing emotions of main characters in this play. Brittani Ashfordâs lyric helps the audience to feel emotional reflections of Sonya, when she decided to protect her cousin from extravagant ideas of a womanizer. She understood better the consequences of such irrational actions of Natasha than she did herself. Natalia could only dishonor her own name and familyâs one, having fled with supposedly loving her man, who was married. Terminating this engagement, she refused from her Count, who felt for her sincere and deep feelings. Youth and inexperience deceived Natalia. The girl was able to avoid a dangerous situation only with the help of caring people. She realized that true love should not be traded for a passing crush. A Count had not forgiven a girl who treated with his feelings so not thoughtfully. And even excuse of Pierre failed to soften the heart of the offended fiancÃ©e. He did not make allowances for the lack of experience of his beloved. Pierre is the most helpful and friendly character of the play. Once in the shackles of an unwanted marriage, the man did everything to get married with love. Pierre sincerely wished happiness for a girl. Natalia's eyes should shine with joy â to the joy of this man. As a true friend of the girl, Pierre was ready at any moment to come to her aid. The young lady was able to withstand the ordeal only thanks to the support. , , Director has created a very unusual action. He attracted the audience to participate in an organized performance. Being in close proximity, the audience could see all the emotions of the main characters. People got together by means of spiritual and real food â it served both classic and Russian cuisine in the restaurant where the action took place. Such a stage production relished critics in literal and figurative senses. Mixing the comedy moments, romance, serious love test and fever turned out very rough â just in the Russian style, exactly how many people in the West imagine it. The unusual staging of the classic work allows the viewer of any age to find something interesting and to get acquainted with Russian customs. This histrionics is watched at one go, which is the best indicator for any production."
"284","New Brain","    The history of life of William Finn made it possible to write this unusual piece. Despite the fact that it tells about a man who was in a coma for a long time, the performance evokes only positive emotions and hopes for the better. Re-birth of the author after a major operation allowed him to create music masterpieces, of which he always dreamed. Beautiful melodies and wonderful poetry joined thanks to the talent of William Finn. The optimistic spirit of his compositions allowed the public to understand that the history of Gordon finished finely. , , Not initially putting the soul in his works for a children's program, the young author was not aware that he was making a big mistake and was living in vain. For whomever you do your job, it should be done using all your talents to perform your best. Just being on the verge of life and death, our hero began to understand how important it is to be sincere towards the audience. And not only that. The fear of death caused him to treat life more serious. The subconscious was able to get through to the author's conscious so he would be able to learn more about own behavior and goals. Do you want to leave after you just a bunch of used phones and various rubbish in your social pages? So did he not. The protagonist realized that he should live a much fuller live and, in addition to cherishing it, he must follow his dreams, as it is the only real life purpose of every conscious person. Thus, his attitude towards everything had changed after the point when he woke up. , , Unrestrained need to create music supported Gordon in the most difficult period of his life, standing on the verge between life and death. Incarnated in visions, it did not allow the author to leave the real world. This thirst for creativity literally overwhelmed the young man. And now his creations were beautiful â with the harmony of life felt in them. A young man has realized himself at the Broadway as he always dreamed., , The life story of William Finn once again admitted that a person can be reborn at any age. Critics pointed out that his new works received more soul and were more lyrical, in comparison with his older creations. After a man got rid of cynicism, he was able to create these masterpieces. Many melodies now were distinguished by harmony and softness. The desire to live in him arisen after the struggle and he was re-filled with the desire to create something magnificent and remarkable."
"285","New Girl in Town ","    The musical tells the story of Anna, which in early childhood was sent to relatives. Care of her father turned into a tragedy. Cousins defiled the girl and forced her into prostitution. After going through all the circles of hell, poor girl has decided to return to her father, who did not even know what she had to endure. He was confident of a happy life of a daughter. Anna did not want to upset him and thatâs why wrote him that worked as a nurse. At a meeting with the father, she did not tell him about the true state of affairs. Only fatherâs friend Marthy learned about the tragic fate of the girl. Moving to a new city, Anna decided to end difficult past, but it was not so easy. , , Thanks to music, production affects the audience much stronger. Musical allows to transfer the most subtle shades of feelings of the main character of the play. M. L. Robinson showed all the suffering of Anna. She also managed to express the state of true love, first visited the girl's heart â she could not resist feelings and answered with reciprocity. Sincerity of a sailor excellently unfolded Patrick Cummings. She appeared before him, when his character was on the verge of life and death. That is why a man so passionately began to express his emotions and to tell everyone that a girl was his salvation. Love triumphs in this production, proving that genuine feelings have no barriers."
"286","Newsies ","    Musical dedicated to struggle between distributors of newspapers and their publisher, which raised the price of production. Young newspapermen lived only at the expense of the money they received from these sales. For them, the rise in price of 100 newspapers in 10 cents was a real disaster. Citizens would be unlikely to buy more expensive newspapers, so the publisher has decided to compensate own costs by distributors. Youth perturbation resulted in protests and strike. Jack inspired them to take this step, who also could not reconcile with the demands of the capitalist. At first, the protesters acted spontaneously, but then they began to follow the words of their leader. The newspapermen refused to distribute the product of the publisher at the new price. But even losses did not cause him to change his mind. Despite the resistance of the strikers, there were those teens who started to sell newspapers at the new price. When the police intervened in the case, it became clear that the idea of influence on the publisher has failed. But young people did not obey to the situation. The children created their own newspaper, which came to the governor. He influenced the publisher, and so he had to make concessions to the distributors. , , The desire of people to fight for their rights was especially evident in the late XIX century. In those years, all over the world organized many political movements. Therefore, the violent reaction of young distributors is consistent with the spirit of the time. Bereft of home and family adolescents are particularly sensitive to the impairment of their already low financial capacity. For them, it was not simply lost in profits â they may be deprived of possibility to buy enough food to survive for another day. Journalist Katherine understood their extremely difficult situation. Despite the fact that she was from a wealthy family, she realized how hard life young newspapermen led. Own admiration for their desire to seek justice journalist expressed in her article. Even the fact that the distributors have struggled with her father did not stop Katherine. She well understood injustice committed by Pulitzer in relation to the young newspapermen. To fight against the greed of her father added romantic feelings that she began to feel to the leader of the strikers., , Young actors perfectly embodied on stage the fighting spirit of newsmen for their rights. Their rapid dances are full of enthusiasm and fire, and vocal compositions help viewers even more imbue with the situation faced by young people. Mastery of talented artists is particularly impressive when they jointly perform sophisticated choreography. Each musical composition allows the audience to feel the passion and the persistence of the main characters in the play. The quest for justice is the main message of this performance. Despite the fact that the newspapermen were able to achieve it only with the support of powerful governor, future US President, they gave hope to others saying that everyone should defend own rights, not to give up when a difficult situation occurs. Hot heart and youth will help achieve lots in this life!"
